,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
0,01,1,5/24/22 0:00,200,X07,,5/24/22 22:39,5/24/22 22:50,,,10.516666666666667,
3,02,1,5/24/22 0:00,200,X07,,5/24/22 23:17,5/24/22 23:25,,,8.383333333333333,
6,03,1,5/24/22 0:00,200,X07,,5/24/22 23:44,5/24/22 23:52,,,7.6,
9,04,2,5/27/22 0:00,200,X02,,5/27/22 19:49,5/27/22 20:03,,,14.3,
10,04,2,5/27/22 0:00,350,X04,,5/27/22 19:48,5/27/22 20:01,,,12.766666666666667,
11,04,2,5/27/22 0:00,50,X09,,5/27/22 19:48,5/27/22 20:05,,,17.45,
12,05,2,5/27/22 0:00,200,X02,,5/27/22 20:17,5/27/22 20:30,,,13.416666666666666,
13,05,2,5/27/22 0:00,350,X04,,5/27/22 20:17,5/27/22 20:27,,,10.45,
14,05,2,5/27/22 0:00,50,X09,,5/27/22 20:17,5/27/22 20:31,,,14.816666666666666,
15,06,2,5/27/22 0:00,200,X02,,5/27/22 21:08,5/27/22 21:11,,,2.9,
16,06,2,5/27/22 0:00,350,X04,,5/27/22 21:08,5/27/22 21:11,,,2.85,
17,07,3,5/29/22 0:00,200,X02,,5/29/22 18:18,5/29/22 18:36,,,17.883333333333333,
18,07,3,5/29/22 0:00,350,X04,,5/29/22 18:18,5/29/22 18:36,,,17.6,
19,07,3,5/29/22 0:00,50,X09,,5/29/22 18:18,5/29/22 18:35,,,16.766666666666666,
20,08,3,5/29/22 0:00,200,X02,,5/29/22 21:05,5/29/22 21:16,,,10.783333333333333,
21,08,3,5/29/22 0:00,350,X04,,5/29/22 21:06,5/29/22 21:15,,,9.216666666666667,
22,08,3,5/29/22 0:00,50,X09,,5/29/22 21:05,5/29/22 21:19,,,13.533333333333333,
23,09,3,5/29/22 0:00,200,X02,,5/29/22 22:13,5/29/22 22:22,,,8.966666666666667,
