,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
0,01,2022-05-24,1,Ac,1,200,2022-05-24 16:35:00,2022-05-24 16:53:00,2022-05-24 22:35:00,2022-05-24 22:53:00,X07,
1,01,2022-05-24,1,Cb,1,350,2022-05-24 16:35:00,2022-05-24 16:53:00,2022-05-24 22:35:00,2022-05-24 22:53:00,X06,
2,01,2022-05-24,1,St,1,50,2022-05-24 16:35:00,2022-05-24 16:53:00,2022-05-24 22:35:00,2022-05-24 22:53:00,X05,
3,02,2022-05-24,1,Ac,2,200,2022-05-24 17:14:00,2022-05-24 17:28:00,2022-05-24 23:14:00,2022-05-24 23:28:00,X07,
4,02,2022-05-24,1,Cb,2,350,2022-05-24 17:14:00,2022-05-24 17:28:00,2022-05-24 23:14:00,2022-05-24 23:28:00,X06,
5,02,2022-05-24,1,St,2,50,2022-05-24 17:14:00,2022-05-24 17:28:00,2022-05-24 23:14:00,2022-05-24 23:28:00,X05,
6,03,2022-05-24,1,Ac,3,200,2022-05-24 17:41:00,2022-05-24 17:56:00,2022-05-24 23:41:00,2022-05-24 23:56:00,X07,
7,03,2022-05-24,1,Cb,3,350,2022-05-24 17:41:00,2022-05-24 17:56:00,2022-05-24 23:41:00,2022-05-24 23:56:00,X06,
8,03,2022-05-24,1,St,3,50,2022-05-24 17:41:00,2022-05-24 17:56:00,2022-05-24 23:41:00,2022-05-24 23:56:00,X05,
9,04,2022-05-27,2,Ac,1,200,2022-05-27 13:48:00,2022-05-27 14:09:00,2022-05-27 19:48:00,2022-05-27 20:09:00,X02,
10,04,2022-05-27,2,Cb,1,350,2022-05-27 13:48:00,2022-05-27 14:06:00,2022-05-27 19:48:00,2022-05-27 20:06:00,X04,
11,04,2022-05-27,2,St,1,50,2022-05-27 13:48:00,2022-05-27 14:09:00,2022-05-27 19:48:00,2022-05-27 20:09:00,X09,
12,05,2022-05-27,2,Ac,2,200,2022-05-27 14:14:00,2022-05-27 14:33:00,2022-05-27 20:14:00,2022-05-27 20:33:00,X02,
13,05,2022-05-27,2,Cb,2,350,2022-05-27 14:14:00,2022-05-27 14:32:00,2022-05-27 20:14:00,2022-05-27 20:32:00,X04,
14,05,2022-05-27,2,St,2,50,2022-05-27 14:14:00,2022-05-27 14:34:00,2022-05-27 20:14:00,2022-05-27 20:34:00,X09,
15,06,2022-05-27,2,Ac,3,200,2022-05-27 15:05:00,2022-05-27 15:15:00,2022-05-27 21:05:00,2022-05-27 21:15:00,X02,
16,06,2022-05-27,2,Cb,3,350,2022-05-27 15:05:00,2022-05-27 15:12:00,2022-05-27 21:05:00,2022-05-27 21:12:00,X04,
17,07,2022-05-29,3,Ac,1,200,2022-05-29 12:15:00,2022-05-29 12:41:00,2022-05-29 18:15:00,2022-05-29 18:41:00,X02,
18,07,2022-05-29,3,Cb,1,350,2022-05-29 12:15:00,2022-05-29 12:49:00,2022-05-29 18:15:00,2022-05-29 18:49:00,X04,
19,07,2022-05-29,3,St,1,50,2022-05-29 12:15:00,2022-05-29 12:37:00,2022-05-29 18:15:00,2022-05-29 18:37:00,X09,
20,08,2022-05-29,3,Ac,2,200,2022-05-29 15:03:00,2022-05-29 15:20:00,2022-05-29 21:03:00,2022-05-29 21:20:00,X02,
21,08,2022-05-29,3,Cb,2,350,2022-05-29 15:03:00,2022-05-29 15:20:00,2022-05-29 21:03:00,2022-05-29 21:20:00,X04,
22,08,2022-05-29,3,St,2,50,2022-05-29 15:03:00,2022-05-29 15:21:00,2022-05-29 21:03:00,2022-05-29 21:21:00,X09,
23,09,2022-05-29,3,Ac,3,200,2022-05-29 16:11:00,2022-05-29 16:26:00,2022-05-29 22:11:00,2022-05-29 22:26:00,X02,
24,09,2022-05-29,3,Cb,3,350,2022-05-29 16:10:00,2022-05-29 16:26:00,2022-05-29 22:10:00,2022-05-29 22:26:00,X04,
25,10,2022-05-30,4,Ac,1,235,2022-05-30 15:37:00,2022-05-30 15:55:00,2022-05-30 21:37:00,2022-05-30 21:55:00,X02,
26,10,2022-05-30,4,Cb,1,350,2022-05-30 15:36:00,2022-05-30 15:51:00,2022-05-30 21:36:00,2022-05-30 21:51:00,X04,
27,10,2022-05-30,4,St,1,120,2022-05-30 15:37:00,2022-05-30 15:53:00,2022-05-30 21:37:00,2022-05-30 21:53:00,X09,
28,11,2022-05-30,4,Ac,2,235,2022-05-30 16:33:00,2022-05-30 16:51:00,2022-05-30 22:33:00,2022-05-30 22:51:00,X02,
29,11,2022-05-30,4,Cb,2,350,2022-05-30 16:36:00,2022-05-30 16:57:00,2022-05-30 22:36:00,2022-05-30 22:57:00,X04,
30,11,2022-05-30,4,St,2,120,2022-05-30 16:33:00,2022-05-30 16:52:00,2022-05-30 22:33:00,2022-05-30 22:52:00,X09,
31,12,2022-05-31,5,Ac,1,235,2022-05-31 11:38:00,2022-05-31 11:56:00,2022-05-31 17:38:00,2022-05-31 17:56:00,X02,
32,12,2022-05-31,5,Cb,1,350,2022-05-31 11:38:00,2022-05-31 11:59:00,2022-05-31 17:38:00,2022-05-31 17:59:00,X04,
33,12,2022-05-31,5,St,1,120,2022-05-31 11:39:00,2022-05-31 11:56:00,2022-05-31 17:39:00,2022-05-31 17:56:00,X07,
34,13,2022-06-03,6,Ac,1,235,2022-06-03 12:42:00,2022-06-03 12:59:00,2022-06-03 18:42:00,2022-06-03 18:59:00,X02,
35,13,2022-06-03,6,Cb,1,350,2022-06-03 12:40:00,2022-06-03 12:57:00,2022-06-03 18:40:00,2022-06-03 18:57:00,X04,
36,13,2022-06-03,6,St,1,120,2022-06-03 12:40:00,2022-06-03 12:57:00,2022-06-03 18:40:00,2022-06-03 18:57:00,X10,
37,14,2022-06-03,6,Ac,2,235,2022-06-03 14:25:00,2022-06-03 14:42:00,2022-06-03 20:25:00,2022-06-03 20:42:00,X02,
38,14,2022-06-03,6,Cb,2,350,2022-06-03 14:24:00,2022-06-03 14:41:00,2022-06-03 20:24:00,2022-06-03 20:41:00,X04,
39,14,2022-06-03,6,St,2,120,2022-06-03 14:24:00,2022-06-03 14:41:00,2022-06-03 20:24:00,2022-06-03 20:41:00,X10,
40,15,2022-06-03,6,Ac,3,235,2022-06-03 15:20:00,2022-06-03 15:31:00,2022-06-03 21:20:00,2022-06-03 21:31:00,X02,
41,15,2022-06-03,6,Cb,3,350,2022-06-03 15:20:00,2022-06-03 15:32:00,2022-06-03 21:20:00,2022-06-03 21:32:00,X04,
